number,author,participant,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by
260,trisweb,thomas-mcdonald,1,c281f39bde853e389b6740d01b6bfc2752838a75,41d921990298c4dc7d20d97b64d724f6008ef853,41d921990298c4dc7d20d97b64d724f6008ef853,2012-11-19 19:42:08,2013-02-08 11:08:25,thomas-mcdonald
266,petedmarsh,trisweb,1,c281f39bde853e389b6740d01b6bfc2752838a75,37d3bcce7e3ad5fec8984cbaf00375962df635b8,37d3bcce7e3ad5fec8984cbaf00375962df635b8,2012-12-03 11:36:03,2012-12-09 12:51:51,thomas-mcdonald
270,trisweb,m5o,3,794d52a3cd89203bdbabba1b885f80af7f20fc67,b80a5ff7da58973d1ce3ce7dcfbcded76f595dc2,9fea2b937d8508e6cd21330a3599ecfa1f0986d4,2012-12-11 16:31:42,2012-12-22 12:42:34,thomas-mcdonald
275,timoschilling,thomas-mcdonald,1,ce312e5b1d52cac4e645d27d4151f2bdff89c43a,ff67fb58ff918ee4a6f4e8359411a88a28083f08,ff67fb58ff918ee4a6f4e8359411a88a28083f08,2013-01-11 02:34:39,2013-01-13 20:49:00,thomas-mcdonald
279,theverything,thomas-mcdonald,1,d82477860e1e5d16e9bc32ebfe3c31d432bef920,e8660079f50955367b8aad035ae85c13dbed7624,e8660079f50955367b8aad035ae85c13dbed7624,2013-01-19 18:50:03,2013-01-20 12:44:49,thomas-mcdonald
283,parndt,trisweb,1,64fedeefd2a72ac47c5c385c5a2dd4219c8d01f1,7c8e37373ae039cda7d98f3087e7fb5c7e6aa640,7c8e37373ae039cda7d98f3087e7fb5c7e6aa640,2013-01-28 06:50:53,2013-01-28 22:21:29,trisweb
284,puffy,trisweb,1,27cf59b47ca7bcca08866738369e80b3ffe48828,48699e76dbadd346d6c4963a04dd99466e63624c,48699e76dbadd346d6c4963a04dd99466e63624c,2013-01-29 17:53:55,2013-02-05 20:55:41,thomas-mcdonald
286,sunnyrjuneja,trisweb,1,27cf59b47ca7bcca08866738369e80b3ffe48828,30974e690be216b1d797fefb4366267731f703f1,30974e690be216b1d797fefb4366267731f703f1,2013-02-04 06:36:53,2013-02-05 14:16:31,trisweb
290,trisweb,caarlos0,2,2d40e4d27b2fb7c8dcbfc40e278b4ddc6772f337,07e7ec2eacb45a5a758583835f0a81dca80ebaf8,4ce595087d4fec7b351defa08a5d4871aaba7b76,2013-02-09 17:34:08,2013-02-14 21:11:56,thomas-mcdonald
294,trisweb,None,1,1a9cf0b342b1e7606b9577934b2d3641619d0eac,5b17751454a396b1d6a1c2de493b69dfa40a6c18,5b17751454a396b1d6a1c2de493b69dfa40a6c18,2013-02-16 00:50:38,2013-02-20 00:13:46,trisweb
